===== printLabels =====
1 태백특A
2 태백특A정제
3 태백A
4 태백A정제
5 태백B
6 태백B정제
7 태백C
8 태백C정제
9 압해A
10 압해A정제
11 압해B
12 압해B정제
13 해남
14 해남정제
15 행남자기
16 행남자기정제
17 KM-85
18 LKC-60
19 KC-009
20 성주WA
21 성주PA
22 대명PB
23 대명WC-1
24 대한PC
25 대한WC-2
===== printRows =====
320 element, 11, 압해B, element.zro2, ZrO2, lt, 0.01
321 element, 9, 압해A, element.zro2, ZrO2, lt, 0.01
322 element, 2, 태백특A정제, element.li2o, Li2O, eq, 0.63
323 element, 14, 해남정제, element.li2o, Li2O, eq, 0.03
324 element, 16, 행남자기정제, element.li2o, Li2O, eq, 0.63
325 element, 3, 태백A, element.li2o, Li2O, eq, 0.01
326 element, 5, 태백B, element.li2o, Li2O, eq, 0.02
327 element, 7, 태백C, element.li2o, Li2O, eq, 0.43
328 element, 11, 압해B, element.li2o, Li2O, eq, 0.03
329 element, 9, 압해A, element.li2o, Li2O, eq, 0.01
330 element, 2, 태백특A정제, element.sro, SrO, lt, 0.01
331 element, 14, 해남정제, element.sro, SrO, eq, 0.08
332 element, 16, 행남자기정제, element.sro, SrO, lt, 0.01
333 element, 3, 태백A, element.sro, SrO, lt, 0.01
334 element, 5, 태백B, element.sro, SrO, lt, 0.01
335 element, 7, 태백C, element.sro, SrO, eq, 0.01
336 element, 11, 압해B, element.sro, SrO, lt, 0.01
337 element, 9, 압해A, element.sro, SrO, lt, 0.01
338 element, 2, 태백특A정제, element.cr2o3, Cr2O3, lt, 0.01
339 element, 14, 해남정제, element.cr2o3, Cr2O3, lt, 0.01
340 element, 16, 행남자기정제, element.cr2o3, Cr2O3, lt, 0.01
341 element, 3, 태백A, element.cr2o3, Cr2O3, lt, 0.01
342 element, 5, 태백B, element.cr2o3, Cr2O3, eq, 0.00
343 element, 7, 태백C, element.cr2o3, Cr2O3, lt, 0.01
344 element, 11, 압해B, element.cr2o3, Cr2O3, lt, 0.01
345 element, 9, 압해A, element.cr2o3, Cr2O3, eq, 0.01
346 element, 2, 태백특A정제, element.bao, BaO, lt, 0.01
347 element, 14, 해남정제, element.bao, BaO, eq, 0.06
348 element, 16, 행남자기정제, element.bao, BaO, lt, 0.01
349 element, 3, 태백A, element.bao, BaO, eq, 0.02
350 element, 5, 태백B, element.bao, BaO, eq, 0.02
351 element, 7, 태백C, element.bao, BaO, eq, 0.01
352 element, 11, 압해B, element.bao, BaO, eq, 0.04
353 element, 9, 압해A, element.bao, BaO, eq, 0.01
354 element, 2, 태백특A정제, element.loss, loss, eq, 3.53
355 element, 14, 해남정제, element.loss, loss, eq, 4.47
356 element, 16, 행남자기정제, element.loss, loss, eq, 3.53
357 element, 3, 태백A, element.loss, loss, eq, 2.49
358 element, 5, 태백B, element.loss, loss, eq, 2.91
359 element, 7, 태백C, element.loss, loss, eq, 3.96
360 element, 11, 압해B, element.loss, loss, eq, 3.3
361 element, 9, 압해A, element.loss, loss, eq, 2.58
362 mean, 17, MeanSize, mean.meansize, MeanSize, eq, 9.58
363 mean, 17, D10, mean.d10, D10, eq, 3.43
364 mean, 17, D50, mean.d50, D50, eq, 8.56
365 mean, 17, D90, mean.d90, D90, eq, 16.76
366 mean, 18, MeanSize, mean.meansize, MeanSize, eq, 6.36
367 mean, 18, D10, mean.d10, D10, eq, 3.18
368 mean, 18, D50, mean.d50, D50, eq, 5.91
369 mean, 18, D90, mean.d90, D90, eq, 10.05
370 mean, 19, MeanSize, mean.meansize, MeanSize, eq, 7.53
371 mean, 19, D10, mean.d10, D10, eq, 2.21
372 mean, 19, D50, mean.d50, D50, eq, 7.11
373 mean, 19, D90, mean.d90, D90, eq, 13.1
374 mean, 20, MeanSize, mean.meansize, MeanSize, eq, 23.56
375 mean, 20, D10, mean.d10, D10, eq, 4.59
376 mean, 20, D50, mean.d50, D50, eq, 11.86
377 mean, 20, D90, mean.d90, D90, eq, 60.58
378 mean, 21, MeanSize, mean.meansize, MeanSize, eq, 6.48
379 mean, 21, D10, mean.d10, D10, eq, 3.07
380 mean, 21, D50, mean.d50, D50, eq, 6.14
381 mean, 21, D90, mean.d90, D90, eq, 10.3
382 mean, 22, MeanSize, mean.meansize, MeanSize, eq, 5.18
383 mean, 22, D10, mean.d10, D10, eq, 2.8
384 mean, 22, D50, mean.d50, D50, eq, 14.8
385 mean, 22, D90, mean.d90, D90, eq, 39
386 mean, 23, MeanSize, mean.meansize, MeanSize, eq, 4.93
387 mean, 23, D10, mean.d10, D10, eq, 2
388 mean, 23, D50, mean.d50, D50, eq, 17.6
389 mean, 23, D90, mean.d90, D90, eq, 44.8
390 mean, 24, MeanSize, mean.meansize, MeanSize, eq, 5.66
391 mean, 24, D10, mean.d10, D10, eq, 2.5
392 mean, 24, D50, mean.d50, D50, eq, 20.4
393 mean, 24, D90, mean.d90, D90, eq, 49
394 mean, 25, MeanSize, mean.meansize, MeanSize, eq, 1.87
395 mean, 25, D10, mean.d10, D10, eq, 0.8
396 mean, 25, D50, mean.d50, D50, eq, 4.9
397 mean, 25, D90, mean.d90, D90, eq, 8.3
398 mean, 2, MeanSize, mean.meansize, MeanSize, eq, 5.7
399 mean, 2, D10, mean.d10, D10, eq, 1.9
400 mean, 2, D50, mean.d50, D50, eq, 7.3
401 mean, 2, D90, mean.d90, D90, eq, 13.9
402 mean, 14, MeanSize, mean.meansize, MeanSize, eq, 9.2
403 mean, 14, D10, mean.d10, D10, eq, 3.3
404 mean, 14, D50, mean.d50, D50, eq, 7.5
405 mean, 14, D90, mean.d90, D90, eq, 16.4
406 mean, 16, MeanSize, mean.meansize, MeanSize, eq, 10
407 mean, 16, D10, mean.d10, D10, eq, 2.2
408 mean, 16, D50, mean.d50, D50, eq, 7.4
409 mean, 16, D90, mean.d90, D90, eq, 21.4
410 mean, 3, MeanSize, mean.meansize, MeanSize, eq, 13.7
411 mean, 3, D10, mean.d10, D10, eq, 2.4
412 mean, 3, D50, mean.d50, D50, eq, 12
413 mean, 3, D90, mean.d90, D90, eq, 26.9
414 mean, 5, MeanSize, mean.meansize, MeanSize, eq, 8.8
